Date,Miner Revenue
2009-01-10,950
2009-01-11,3050
2009-01-12,4650
2009-01-13,4700
2009-01-14,6150
2009-01-15,6450
2009-01-16,6300
2009-01-17,5400
2009-01-18,5450
2009-01-19,5350
2009-01-20,5750
2009-01-21,5700
2009-01-22,5100
2009-01-23,4550
2009-01-24,4200
2009-01-25,10050
2009-01-26,9550
2009-01-27,4800
2009-01-28,4850
2009-01-29,5600
2009-01-30,6050
2009-01-31,5850
2009-02-01,6900
2009-02-02,5650
2009-02-03,6400
2009-02-04,6952.01
2009-02-05,5950
2009-02-06,6300
2009-02-07,6100
2009-02-08,6450
2009-02-09,6600
2009-02-10,6700
2009-02-11,6000
2009-02-12,6650
2009-02-13,5950
2009-02-14,6200
2009-02-15,6800
2009-02-16,6400
2009-02-17,6100
2009-02-18,5850
2009-02-19,5900
2009-02-20,6200
2009-02-21,6100
2009-02-22,5700
2009-02-23,6050
2009-02-24,5400
2009-02-25,5300
2009-02-26,5250
2009-02-27,5350
2009-02-28,5750
2009-03-01,4950
2009-03-02,5250
2009-03-03,5400
2009-03-04,5250
2009-03-05,5200
2009-03-06,5600
2009-03-07,5850
2009-03-08,5450
2009-03-09,5750
2009-03-10,5400
2009-03-11,5350
2009-03-12,5700
2009-03-13,5900
2009-03-14,5650
2009-03-15,5500
2009-03-16,6150
2009-03-17,6050
2009-03-18,5700
2009-03-19,5700
2009-03-20,6100
2009-03-21,5900
2009-03-22,2500
2009-03-23,5950
2009-03-24,6500
2009-03-25,5250
2009-03-26,5850
2009-03-27,5850
2009-03-28,5300
2009-03-29,5950
2009-03-30,5800
2009-03-31,6000
2009-04-01,5500
2009-04-02,5700
2009-04-03,5750
2009-04-04,5800
2009-04-05,5650
2009-04-06,6500
2009-04-07,5450
2009-04-08,5000
2009-04-09,5250
2009-04-10,4950
2009-04-11,5400
2009-04-12,6000
2009-04-13,5900
2009-04-14,5750
2009-04-15,6200
2009-04-16,5650
2009-04-17,6150
2009-04-18,5600
2009-04-19,6300
2009-04-20,5950
2009-04-21,5950
2009-04-22,6150
2009-04-23,6050
2009-04-24,3750
2009-04-25,5750
2009-04-26,5900
2009-04-27,5600
2009-04-28,5200
2009-04-29,5850
2009-04-30,6400
2009-05-01,6550
2009-05-02,6050
2009-05-03,6300.03
2009-05-04,5300
2009-05-05,6400
2009-05-06,6750
2009-05-07,6750
2009-05-08,6100
2009-05-09,5350
2009-05-10,3900
2009-05-11,4250
2009-05-12,6000.1
2009-05-13,6500
2009-05-14,5550
2009-05-15,6950
2009-05-16,6800
2009-05-17,5950
2009-05-18,6350
2009-05-19,5900
2009-05-20,4300
2009-05-21,6000
2009-05-22,4100
2009-05-23,3050
2009-05-24,1600
2009-05-25,5000
2009-05-26,5450
2009-05-27,6250
2009-05-28,5950
2009-05-29,4750
2009-05-30,5300
2009-05-31,5450
2009-06-01,4800
2009-06-02,3550
2009-06-03,5550
2009-06-04,3550
2009-06-05,3300
2009-06-06,1500
2009-06-07,1400
2009-06-08,800
2009-06-09,4100
2009-06-10,4550
2009-06-11,4100
2009-06-12,4450
2009-06-13,4300
2009-06-14,3900
2009-06-15,3600
2009-06-16,4200
2009-06-17,3550
2009-06-18,3950
2009-06-19,4000
2009-06-20,4350
2009-06-21,3900
2009-06-22,4050
2009-06-23,3800
2009-06-24,3800
2009-06-25,4750
2009-06-26,3400
2009-06-27,4500
2009-06-28,4200
2009-06-29,2300
2009-06-30,4150
2009-07-01,4250
2009-07-02,3700
2009-07-03,4150
2009-07-04,4100
2009-07-05,4450
2009-07-06,3950
2009-07-07,4200
2009-07-08,3450
2009-07-09,3700
2009-07-10,4300
2009-07-11,4050
2009-07-12,4150
2009-07-13,3850
2009-07-14,3900
2009-07-15,3450
2009-07-16,2250
2009-07-17,3550
2009-07-18,2350
2009-07-19,200
2009-07-20,3500
2009-07-21,3500.14
2009-07-22,4100
2009-07-23,3000
2009-07-24,3800
2009-07-25,3650
2009-07-26,1600
2009-07-27,1050
2009-07-28,3700
2009-07-29,2050
2009-07-30,950
2009-07-31,750
2009-08-01,850
2009-08-02,1400
2009-08-03,1150
2009-08-04,600
2009-08-05,4050
2009-08-06,4350
2009-08-07,4500
2009-08-08,4000.13
2009-08-09,4000
2009-08-10,5050
