Date,Output Volume
2009-01-10,0
2009-01-11,0
2009-01-12,50
2009-01-13,129
2009-01-14,0
2009-01-15,61
2009-01-16,500
2009-01-17,200
2009-01-18,0
2009-01-19,150
2009-01-20,775
2009-01-21,400
2009-01-22,600
2009-01-23,150
2009-01-24,300
2009-01-25,500
2009-01-26,50
2009-01-27,1000
2009-01-28,150
2009-01-29,0
2009-01-30,600
2009-01-31,0
2009-02-01,1000
2009-02-02,100
2009-02-03,50
2009-02-04,734.51
2009-02-05,0
2009-02-06,0
2009-02-07,0
2009-02-08,1198
2009-02-09,1000
2009-02-10,2200
2009-02-11,0
2009-02-12,550.04
2009-02-13,0
2009-02-14,0
2009-02-15,0
2009-02-16,900
2009-02-17,1500
2009-02-18,0
2009-02-19,0
2009-02-20,800
2009-02-21,0
2009-02-22,0
2009-02-23,1050
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,0
2009-02-28,1800
2009-03-01,350
2009-03-02,0
2009-03-03,0
2009-03-04,400
2009-03-05,1250
2009-03-06,400
2009-03-07,0
2009-03-08,0
2009-03-09,1550
2009-03-10,0
2009-03-11,0
2009-03-12,0
2009-03-13,150
2009-03-14,750
2009-03-15,0
2009-03-16,0
2009-03-17,2400
2009-03-18,0
2009-03-19,700
2009-03-20,0
2009-03-21,600
2009-03-22,0
2009-03-23,550
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,1400
2009-03-28,0
2009-03-29,1000
2009-03-30,0
2009-03-31,0
2009-04-01,1600
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,0
2009-04-06,850
2009-04-07,0
2009-04-08,0
2009-04-09,0
2009-04-10,0
2009-04-11,0
2009-04-12,350
2009-04-13,950
2009-04-14,50
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-18,0
2009-04-19,182.51
2009-04-20,400
2009-04-21,5750
2009-04-22,50
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,750
2009-04-28,0
2009-04-29,0
2009-04-30,1000
2009-05-01,0
2009-05-02,0
2009-05-03,749.91
2009-05-04,110
2009-05-05,1500
2009-05-06,500
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,0
2009-05-12,99.9
2009-05-13,0
2009-05-14,150.01
2009-05-15,199.99
2009-05-16,500
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,0
2009-05-30,3000
2009-05-31,0
2009-06-01,0
2009-06-02,50
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,0
2009-06-23,3000
2009-06-24,0
2009-06-25,148.98
2009-06-26,1000
2009-06-27,0
2009-06-28,0
2009-06-29,50
2009-06-30,145
2009-07-01,0
2009-07-02,100
2009-07-03,50
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,6049.53
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,100
2009-07-31,50
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,5549.4
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,2348.06
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,50
2009-09-01,300
2009-09-02,0
2009-09-03,0
2009-09-04,700
2009-09-05,0
2009-09-06,0
2009-09-07,0
2009-09-08,650
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,1
2009-09-18,5049.88
2009-09-19,0
2009-09-20,0
2009-09-21,0
2009-09-22,400
2009-09-23,2000
2009-09-24,0
2009-09-25,0
2009-09-26,1300
2009-09-27,800
2009-09-28,0
2009-09-29,0
2009-09-30,2150
2009-10-01,0
2009-10-02,0
2009-10-03,500
2009-10-04,0
2009-10-05,0
2009-10-06,0
2009-10-07,900
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,0
2009-10-13,5050
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-17,9700
2009-10-18,0
2009-10-19,350
2009-10-20,0
2009-10-21,5049.76
2009-10-22,899.76
2009-10-23,11950
2009-10-24,0
2009-10-25,12250
2009-10-26,0
2009-10-27,0
2009-10-28,13000
2009-10-29,0
2009-10-30,2050
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,15500
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,17500
2009-11-12,72500
2009-11-13,100
2009-11-14,500
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,44350
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,0
2009-12-02,10049.78
2009-12-03,0
2009-12-04,0
2009-12-05,0
2009-12-06,900
2009-12-07,140
2009-12-08,1000
2009-12-09,500
2009-12-10,2355
2009-12-11,0
2009-12-12,5200
2009-12-13,0
2009-12-14,0
2009-12-15,32545.7
2009-12-16,6309
2009-12-17,0
2009-12-18,299.5
2009-12-19,0
2009-12-20,50
2009-12-21,50
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,0
2009-12-26,50
2009-12-27,0
2009-12-28,250
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,0
2010-01-02,100
2010-01-03,0
2010-01-04,0
2010-01-05,20804.35
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,10799.62
2010-01-14,58
2010-01-15,405
2010-01-16,200.74
2010-01-17,251
2010-01-18,0
2010-01-19,50
2010-01-20,0
2010-01-21,0
2010-01-22,688.29
2010-01-23,250
2010-01-24,51
2010-01-25,50
2010-01-26,3300
2010-01-27,873
2010-01-28,1000
2010-01-29,1050
2010-01-30,950
2010-01-31,1700
2010-02-01,1100
2010-02-02,2600
2010-02-03,1050
2010-02-04,300
2010-02-05,2049.99
2010-02-06,12249
2010-02-07,2100
2010-02-08,499
2010-02-09,6703
2010-02-10,20899.56
2010-02-11,30300
2010-02-12,3700
2010-02-13,7650
2010-02-14,6199
2010-02-15,19624.51
2010-02-16,4549.98
2010-02-17,763.37
2010-02-18,58722.5
2010-02-19,2899
2010-02-20,100.01
2010-02-21,650
2010-02-22,6266.83
2010-02-23,14300
2010-02-24,50
2010-02-25,5300
2010-02-26,10600
2010-02-27,10949
2010-02-28,451
2010-03-01,5299
2010-03-02,1600
2010-03-03,2000
2010-03-04,10200
2010-03-05,19350
2010-03-06,150
2010-03-07,23747.39
2010-03-08,7500
2010-03-09,9045.18
2010-03-10,4050
2010-03-11,2599.99
2010-03-12,3200
2010-03-13,350
2010-03-14,1800
2010-03-15,1550
2010-03-16,152
2010-03-17,1201
2010-03-18,1250
2010-03-19,6900
2010-03-20,3396
2010-03-21,4950
2010-03-22,502
2010-03-23,2400
2010-03-24,3986.93
2010-03-25,1800
2010-03-26,24101
2010-03-27,4000
2010-03-28,3050
2010-03-29,1700
2010-03-30,3450
2010-03-31,550
2010-04-01,1624.2
2010-04-02,1250
2010-04-03,1000
2010-04-04,1723.48
2010-04-05,3449.74
2010-04-06,10637.19
2010-04-07,5141
2010-04-08,5503.14
2010-04-09,3738.74
2010-04-10,28907.96
2010-04-11,15054.05
2010-04-12,16038.16
2010-04-13,28685.76
2010-04-14,2141
2010-04-15,62046.09
2010-04-16,57380.31
2010-04-17,12879.47
2010-04-18,4248.13
2010-04-19,38058.79
2010-04-20,23628.84
2010-04-21,14485
2010-04-22,8128.81
2010-04-23,21692.85
2010-04-24,3904.03
2010-04-25,11863.06
2010-04-26,15915.8
2010-04-27,17195.49
2010-04-28,3433.94
2010-04-29,9418.59
2010-04-30,4579.31
2010-05-01,61370.32
2010-05-02,5398.6
2010-05-03,4298
2010-05-04,9702
2010-05-05,15000.12
2010-05-06,19109.66
2010-05-07,16201.01
2010-05-08,34604
2010-05-09,16320.26
2010-05-10,10328.4
2010-05-11,8413.78
2010-05-12,2050.15
2010-05-13,21720.11
2010-05-14,10857.78
2010-05-15,15754.23
2010-05-16,3174
2010-05-17,2438.64
2010-05-18,10726.48
2010-05-19,13420.9
2010-05-20,11304.61
2010-05-21,4684.97
2010-05-22,38975.96
2010-05-23,45076.54
2010-05-24,21688.36
2010-05-25,6206
2010-05-26,7600
2010-05-27,16840.97
2010-05-28,14611.51
2010-05-29,29357.11
2010-05-30,44601
2010-05-31,5412.3
2010-06-01,7961
2010-06-02,5793.98
2010-06-03,7600.62
2010-06-04,9930.76
2010-06-05,32127.35
2010-06-06,6550
2010-06-07,8503.31
2010-06-08,27149.8
2010-06-09,18301
2010-06-10,63291.57
2010-06-11,31765.63
2010-06-12,10378.78
2010-06-13,14131.1
2010-06-14,14497
2010-06-15,42876.02
2010-06-16,36023
2010-06-17,28559.08
2010-06-18,21778.45
2010-06-19,11536.68
2010-06-20,58477.79
2010-06-21,26963.01
2010-06-22,38158.09
2010-06-23,32343.64
2010-06-24,38595
2010-06-25,32246.37
2010-06-26,19168
2010-06-27,59019.74
2010-06-28,13268
2010-06-29,48863.05
2010-06-30,37909.59
2010-07-01,53599.58
2010-07-02,27602.91
2010-07-03,110967.71
2010-07-04,31020
2010-07-05,18459.5
2010-07-06,52997.01
2010-07-07,19535.5
2010-07-08,51570.31
2010-07-09,14282.94
2010-07-10,11572
2010-07-11,20502.74
2010-07-12,66966.99
2010-07-13,2582539.97
2010-07-14,304168.21
2010-07-15,318267.95
2010-07-16,86061.96
2010-07-17,61599.5
2010-07-18,42433.39
2010-07-19,19423.36
2010-07-20,44525.04
2010-07-21,31386.29
2010-07-22,27082.02
2010-07-23,38774.03
2010-07-24,21157.98
2010-07-25,43431.45
2010-07-26,46826.36
2010-07-27,87007.6
2010-07-28,33477.46
2010-07-29,65976.08
2010-07-30,19719.54
2010-07-31,19458.78
2010-08-01,15441.58
2010-08-02,270230.47
2010-08-03,63521.91
2010-08-04,42359.85
2010-08-05,31751.46
2010-08-06,40927.98
2010-08-07,20253.25
2010-08-08,23643.55
