Date,Transaction Size
2009-01-10,135
2009-01-11,135
2009-01-12,136
2009-01-13,139
2009-01-14,136
2009-01-15,137
2009-01-16,141
2009-01-17,137
2009-01-18,136
2009-01-19,137
2009-01-20,143
2009-01-21,140
2009-01-22,142
2009-01-23,137
2009-01-24,139
2009-01-25,139
2009-01-26,136
2009-01-27,147
2009-01-28,137
2009-01-29,136
2009-01-30,141
2009-01-31,136
2009-02-01,144
2009-02-02,136
2009-02-03,136
2009-02-04,140
2009-02-05,136
2009-02-06,136
2009-02-07,136
2009-02-08,144
2009-02-09,136
2009-02-10,154
2009-02-11,136
2009-02-12,141
2009-02-13,136
2009-02-14,136
2009-02-15,136
2009-02-16,141
2009-02-17,149
2009-02-18,136
2009-02-19,136
2009-02-20,143
2009-02-21,136
2009-02-22,136
2009-02-23,138
2009-02-24,136
2009-02-25,136
2009-02-26,136
2009-02-27,136
2009-02-28,153
2009-03-01,140
2009-03-02,136
2009-03-03,136
2009-03-04,138
2009-03-05,149
2009-03-06,140
2009-03-07,136
2009-03-08,136
2009-03-09,147
2009-03-10,136
2009-03-11,136
2009-03-12,136
2009-03-13,137
2009-03-14,142
2009-03-15,136
2009-03-16,136
2009-03-17,158
2009-03-18,136
2009-03-19,140
2009-03-20,136
2009-03-21,141
2009-03-22,136
2009-03-23,139
2009-03-24,136
2009-03-25,136
2009-03-26,136
2009-03-27,149
2009-03-28,136
2009-03-29,140
2009-03-30,136
2009-03-31,136
2009-04-01,152
2009-04-02,136
2009-04-03,136
2009-04-04,136
2009-04-05,136
2009-04-06,140
2009-04-07,136
2009-04-08,136
2009-04-09,136
2009-04-10,136
2009-04-11,136
2009-04-12,139
2009-04-13,139
2009-04-14,136
2009-04-15,136
2009-04-16,136
2009-04-17,136
2009-04-18,136
2009-04-19,137
2009-04-20,139
2009-04-21,190
2009-04-22,136
2009-04-23,136
2009-04-24,136
2009-04-25,136
2009-04-26,136
2009-04-27,141
2009-04-28,136
2009-04-29,136
2009-04-30,145
2009-05-01,136
2009-05-02,136
2009-05-03,143
2009-05-04,137
2009-05-05,149
2009-05-06,140
2009-05-07,136
2009-05-08,136
2009-05-09,136
2009-05-10,136
2009-05-11,136
2009-05-12,137
2009-05-13,136
2009-05-14,137
2009-05-15,137
2009-05-16,140
2009-05-17,136
2009-05-18,136
2009-05-19,136
2009-05-20,136
2009-05-21,136
2009-05-22,136
2009-05-23,136
2009-05-24,136
2009-05-25,136
2009-05-26,136
2009-05-27,136
2009-05-28,136
2009-05-29,136
2009-05-30,168
2009-05-31,136
2009-06-01,136
2009-06-02,137
2009-06-03,136
2009-06-04,136
2009-06-05,136
2009-06-06,136
2009-06-07,135
2009-06-08,136
2009-06-09,136
2009-06-10,136
2009-06-11,136
2009-06-12,136
2009-06-13,136
2009-06-14,135
2009-06-15,136
2009-06-16,136
2009-06-17,136
2009-06-18,136
2009-06-19,136
2009-06-20,136
2009-06-21,136
2009-06-22,136
2009-06-23,180
2009-06-24,136
2009-06-25,137
2009-06-26,152
2009-06-27,136
2009-06-28,136
2009-06-29,137
2009-06-30,138
2009-07-01,136
2009-07-02,137
2009-07-03,136
2009-07-04,136
2009-07-05,136
2009-07-06,136
2009-07-07,136
2009-07-08,136
2009-07-09,136
