Date,Velocity of Money
2009-01-10,0
2009-01-11,0
2009-01-12,0.00578035
2009-01-13,0.0134082
2009-01-14,0.00917949
2009-01-15,0.00924855
2009-01-16,0.0229457
2009-01-17,0.0249668
2009-01-18,0.0218097
2009-01-19,0.0224974
2009-01-20,0.0344096
2009-01-21,0.037813
2009-01-22,0.0440769
2009-01-23,0.0433501
2009-01-24,0.0449492
2009-01-25,0.0455251
2009-01-26,0.0414033
2009-01-27,0.049567
2009-01-28,0.0486893
2009-01-29,0.0461786
2009-01-30,0.0489751
2009-01-31,0.0465975
2009-02-01,0.0519231
2009-02-02,0.0504697
2009-02-03,0.048512
2009-02-04,0.0512399
2009-02-05,0.0492387
2009-02-06,0.0472835
2009-02-07,0.0455327
2009-02-08,0.050815
2009-02-09,0.054553
2009-02-10,0.064496
2009-02-11,0.0624647
2009-02-12,0.0631477
2009-02-13,0.0612977
2009-02-14,0.0594819
2009-02-15,0.0576102
2009-02-16,0.059998
2009-02-17,0.0649587
2009-02-18,0.0633379
2009-02-19,0.0617831
2009-02-20,0.0634742
2009-02-21,0.0619417
2009-02-22,0.060575
2009-02-23,0.0631602
2009-02-24,0.0618961
2009-02-25,0.0607036
2009-02-26,0.0595668
2009-02-27,0.0584514
2009-02-28,0.0634742
2009-03-01,0.063595
2009-03-02,0.0624882
2009-03-03,0.0613892
2009-03-04,0.061638
2009-03-05,0.0645655
2009-03-06,0.0646845
2009-03-07,0.0635342
2009-03-08,0.0624987
2009-03-09,0.065999
2009-03-10,0.0649676
2009-03-11,0.0639771
2009-03-12,0.0629545
2009-03-13,0.0623436
2009-03-14,0.063424
2009-03-15,0.0624905
2009-03-16,0.0614786
2009-03-17,0.0667346
2009-03-18,0.0657631
2009-03-19,0.0665817
2009-03-20,0.0655747
2009-03-21,0.0660954
2009-03-22,0.0656941
2009-03-23,0.0660751
2009-03-24,0.0650626
2009-03-25,0.0642672
2009-03-26,0.0634035
2009-03-27,0.0657363
2009-03-28,0.0649559
2009-03-29,0.066312
2009-03-30,0.0654726
2009-03-31,0.0646264
2009-04-01,0.067276
2009-04-02,0.0664694
2009-04-03,0.0656751
2009-04-04,0.0648928
2009-04-05,0.0641485
2009-04-06,0.0650162
2009-04-07,0.0643139
2009-04-08,0.0636828
2009-04-09,0.0630333
2009-04-10,0.062433
2009-04-11,0.061791
2009-04-12,0.061752
2009-04-13,0.0628425
2009-04-14,0.0622689
2009-04-15,0.0615657
2009-04-16,0.0609385
2009-04-17,0.0602703
2009-04-18,0.0596744
2009-04-19,0.0593366
2009-04-20,0.0594177
2009-04-21,0.0686488
2009-04-22,0.0680187
2009-04-23,0.0673292
2009-04-24,0.0669088
2009-04-25,0.0662742
2009-04-26,0.0656355
2009-04-27,0.0662546
2009-04-28,0.0657016
2009-04-29,0.0650904
2009-04-30,0.0660088
2009-05-01,0.0653351
2009-05-02,0.064725
2009-05-03,0.065248
2009-05-04,0.0648905
2009-05-05,0.0665195
2009-05-06,0.0665953
2009-05-07,0.0659336
2009-05-08,0.0653469
2009-05-09,0.0648408
2009-05-10,0.0644768
2009-05-11,0.0640847
2009-05-12,0.0636811
2009-05-13,0.0630993
2009-05-14,0.0628201
2009-05-15,0.0624933
2009-05-16,0.062596
2009-05-17,0.0620904
2009-05-18,0.0615598
2009-05-19,0.0610749
2009-05-20,0.0607262
2009-05-21,0.0602463
2009-05-22,0.0599227
2009-05-23,0.0596843
2009-05-24,0.0595599
2009-05-25,0.0591747
2009-05-26,0.0587604
2009-05-27,0.0582924
2009-05-28,0.0578537
2009-05-29,0.0575082
2009-05-30,0.0608742
2009-05-31,0.0604627
2009-06-01,0.0601048
2009-06-02,0.0599042
2009-06-03,0.0594988
2009-06-04,0.0592424
2009-06-05,0.0590059
2009-06-06,0.0588991
2009-06-07,0.0587997
2009-06-08,0.0587431
2009-06-09,0.0584545
2009-06-10,0.0581376
2009-06-11,0.057855
2009-06-12,0.0575513
2009-06-13,0.0572609
2009-06-14,0.057
2009-06-15,0.0567613
2009-06-16,0.0564853
2009-06-17,0.0562541
2009-06-18,0.0559991
2009-06-19,0.0557432
2009-06-20,0.0554675
2009-06-21,0.0552227
2009-06-22,0.0549707
2009-06-23,0.0581019
2009-06-24,0.0578552
2009-06-25,0.0577154
2009-06-26,0.0586052
2009-06-27,0.0583147
2009-06-28,0.0580461
2009-06-29,0.0579548
2009-06-30,0.0578508
2009-07-01,0.0575844
2009-07-02,0.0574623
2009-07-03,0.0572598
2009-07-04,0.0570087
2009-07-05,0.0567385
2009-07-06,0.0565009
2009-07-07,0.0562504
2009-07-08,0.0560463
2009-07-09,0.055829
2009-07-10,0.0555786
2009-07-11,0.0553448
2009-07-12,0.0551073
2009-07-13,0.0548887
2009-07-14,0.0546691
2009-07-15,0.0544763
2009-07-16,0.0543513
2009-07-17,0.0541552
2009-07-18,0.0540261
2009-07-19,0.0540152
2009-07-20,0.0538242
2009-07-21,0.0597239
2009-07-22,0.0594784
2009-07-23,0.0593001
2009-07-24,0.0590757
2009-07-25,0.0588618
2009-07-26,0.0587685
2009-07-27,0.0587075
2009-07-28,0.0584934
2009-07-29,0.0583754
2009-07-30,0.0584192
2009-07-31,0.0584252
2009-08-01,0.0583765
2009-08-02,0.0582964
2009-08-03,0.0582308
2009-08-04,0.0581966
2009-08-05,0.0579669
2009-08-06,0.0577222
2009-08-07,0.0574713
2009-08-08,0.062591
2009-08-09,0.062351
2009-08-10,0.0620506
2009-08-11,0.0618293
2009-08-12,0.0616243
2009-08-13,0.0614409
2009-08-14,0.0611952
2009-08-15,0.0610143
2009-08-16,0.06094
2009-08-17,0.0608858
2009-08-18,0.0608374
2009-08-19,0.060809
2009-08-20,0.0607578
2009-08-21,0.0606955
2009-08-22,0.0606558
2009-08-23,0.060636
2009-08-24,0.0605937
2009-08-25,0.0605514
2009-08-26,0.0604107
2009-08-27,0.0624526
2009-08-28,0.0623688
2009-08-29,0.0621531
2009-08-30,0.0619274
2009-08-31,0.0617012
2009-09-01,0.0617328
2009-09-02,0.0615142
2009-09-03,0.0613304
2009-09-04,0.0617935
2009-09-05,0.0616155
2009-09-06,0.0614054
2009-09-07,0.0612186
2009-09-08,0.0615852
2009-09-09,0.0613964
2009-09-10,0.0612494
2009-09-11,0.0610681
2009-09-12,0.0608878
2009-09-13,0.0607032
2009-09-14,0.0605038
2009-09-15,0.0603084
2009-09-16,0.0601928
2009-09-17,0.0600054
2009-09-18,0.0641577
2009-09-19,0.0639419
2009-09-20,0.0637385
2009-09-21,0.0635255
2009-09-22,0.06368
2009-09-23,0.065319
2009-09-24,0.0652188
2009-09-25,0.0649504
2009-09-26,0.0657995
2009-09-27,0.066196
2009-09-28,0.0659545
2009-09-29,0.0657202
2009-09-30,0.0672698
2009-10-01,0.0670325
2009-10-02,0.0668053
2009-10-03,0.0670192
2009-10-04,0.0668593
2009-10-05,0.0667139
2009-10-06,0.0665637
2009-10-07,0.0671824
2009-10-08,0.0670181
2009-10-09,0.0668273
2009-10-10,0.0666134
2009-10-11,0.0664061
2009-10-12,0.0662082
2009-10-13,0.0701127
2009-10-14,0.0699525
2009-10-15,0.0697595
2009-10-16,0.069562
2009-10-17,0.0771125
2009-10-18,0.076938
2009-10-19,0.0769898
2009-10-20,0.0766501
2009-10-21,0.0803282
2009-10-22,0.0807808
2009-10-23,0.0898155
2009-10-24,0.0895049
2009-10-25,0.098786
2009-10-26,0.0984958
2009-10-27,0.0982263
2009-10-28,0.10798
2009-10-29,0.107707
2009-10-30,0.109087
2009-10-31,0.108837
2009-11-01,0.108646
2009-11-02,0.108543
2009-11-03,0.108406
2009-11-04,0.108151
2009-11-05,0.11963
2009-11-06,0.119373
2009-11-07,0.119094
2009-11-08,0.118785
2009-11-09,0.11846
2009-11-10,0.118176
2009-11-11,0.130885
2009-11-12,0.184519
2009-11-13,0.184141
2009-11-14,0.183966
2009-11-15,0.18343
2009-11-16,0.182782
2009-11-17,0.182133
2009-11-18,0.181521
2009-11-19,0.180999
2009-11-20,0.212749
2009-11-21,0.212087
2009-11-22,0.211528
2009-11-23,0.210721
2009-11-24,0.209996
2009-11-25,0.209298
2009-11-26,0.208628
2009-11-27,0.208005
2009-11-28,0.20746
2009-11-29,0.20694
2009-11-30,0.206502
2009-12-01,0.205958
2009-12-02,0.212479
2009-12-03,0.211781
2009-12-04,0.211131
2009-12-05,0.210867
2009-12-06,0.211023
2009-12-07,0.210368
2009-12-08,0.210245
2009-12-09,0.209831
2009-12-10,0.210753
2009-12-11,0.210006
2009-12-12,0.21274
2009-12-13,0.211948
2009-12-14,0.211133
2009-12-15,0.232282
2009-12-16,0.235651
2009-12-17,0.234583
2009-12-18,0.233468
2009-12-19,0.23174
2009-12-20,0.230273
2009-12-21,0.228996
2009-12-22,0.227701
2009-12-23,0.226515
2009-12-24,0.225399
2009-12-25,0.224295
2009-12-26,0.223267
2009-12-27,0.222044
2009-12-28,0.221038
2009-12-29,0.220093
2009-12-30,0.218925
2009-12-31,0.217971
2010-01-01,0.217045
2010-01-02,0.216228
2010-01-03,0.215396
2010-01-04,0.21418
2010-01-05,0.225573
2010-01-06,0.224232
2010-01-07,0.223141
2010-01-08,0.222119
2010-01-09,0.221113
2010-01-10,0.220129
2010-01-11,0.218904
2010-01-12,0.21786
2010-01-13,0.22305
2010-01-14,0.222026
2010-01-15,0.221311
2010-01-16,0.220245
2010-01-17,0.219488
2010-01-18,0.21867
2010-01-19,0.217838
2010-01-20,0.216637
2010-01-21,0.21545
2010-01-22,0.214444
2010-01-23,0.213704
2010-01-24,0.212617
2010-01-25,0.211463
2010-01-26,0.212023
2010-01-27,0.210824
2010-01-28,0.210346
2010-01-29,0.209906
2010-01-30,0.208981
2010-01-31,0.208716
2010-02-01,0.207851
2010-02-02,0.208163
2010-02-03,0.207893
2010-02-04,0.206191
2010-02-05,0.206029
2010-02-06,0.211192
2010-02-07,0.211229
2010-02-08,0.209694
2010-02-09,0.211536
2010-02-10,0.219924
2010-02-11,0.234319
2010-02-12,0.234908
2010-02-13,0.237666
2010-02-14,0.239382
2010-02-15,0.247881
2010-02-16,0.248606
2010-02-17,0.247053
2010-02-18,0.274301
2010-02-19,0.274323
2010-02-20,0.27271
2010-02-21,0.271658
2010-02-22,0.273208
2010-02-23,0.277824
2010-02-24,0.276204
2010-02-25,0.277589
2010-02-26,0.281562
2010-02-27,0.285549
2010-02-28,0.283777
2010-03-01,0.285047
2010-03-02,0.284502
2010-03-03,0.284192
2010-03-04,0.287694
2010-03-05,0.29474
2010-03-06,0.293481
2010-03-07,0.303058
2010-03-08,0.305217
2010-03-09,0.307729
2010-03-10,0.308538
2010-03-11,0.308583
2010-03-12,0.309094
2010-03-13,0.308352
2010-03-14,0.307773
2010-03-15,0.307608
2010-03-16,0.306761
2010-03-17,0.305387
2010-03-18,0.305025
2010-03-19,0.306798
2010-03-20,0.307255
2010-03-21,0.307861
2010-03-22,0.306863
2010-03-23,0.306477
2010-03-24,0.306826
2010-03-25,0.306475
2010-03-26,0.315488
2010-03-27,0.315274
2010-03-28,0.315376
2010-03-29,0.31444
2010-03-30,0.3146
2010-03-31,0.313423
2010-04-01,0.312076
2010-04-02,0.311511
2010-04-03,0.310922
2010-04-04,0.310603
2010-04-05,0.310927
2010-04-06,0.313944
2010-04-07,0.315018
2010-04-08,0.316014
